,text,label
43,"Samsung specializes in the production of a wide variety of consumer and industry electronics, including appliances, digital media devices, semiconductors, memory chips, and integrated systems.",1
44,"Samsung was founded as a grocery trading store on March 1, 1938, by Lee Byung-Chull.",1
45,"In March 2010 Samsung Group executives made Lee Kun-Hee the head of Samsung Electronics, the conglomerate’s largest division.",1
46, LG is still one of the best-known smartphone manufacturers in the world.,1
47,"They were the first company to make Korean radios, TVs, refrigerators, washing machines and air conditioners.",1
48,"While LG is currently mostly known for its “Life’s Good” slogan, that is not the only catchphrase stuck to their name.",1
49," South Korean Go master Lee Se-dol, who retired from professional Go competition last week after gaining worldwide fame in 2016 as the only human to defeat the artificial intelligence (AI) Go player AlphaGo, said his retirement was primarily motivated by the invincibility of AI Go programs.",1
50,"AlphaGo, built by Google's DeepMind Technologies, won four of its five matches against Lee in March 2016, but Lee's sole win in Game 4 remains the only time a human has beaten the AI player.",1
51,"The 36-year-old, who scored 18 victories in international competitions and 32 victories in domestic events, submitted his letter of retirement to the Korea Baduk Association (KBA), which oversees Go professionals in South Korea, on Nov. 19, terminating his legendary 24-year career",1
52,"Released July 15, 2012, “Gangnam Style” immediately reached the top of South Korea’s music charts, as one would expect from PSY (real name Park Jae-sang), a rapper boasting nationwide success over the previous decade. ",1
53,"“Gangnam Style,” however, looked and sounded nothing like the K-pop norm, its big EDM chorus poking fun at the upper-class Seoul neighborhood of Gangnam.",1
54,"PSY’s goofy “horse dance” would become 2012’s most inescapable pop culture touchstone, one so ubiquitous that it reached the NFL and country music award shows.",1
55,"“Gangnam Style” is the most successful song from Asia, ever. ",1
0,their local name is Choson or “Choson-minjujuui-inmin-koughwaguk“.,0
1,The greatest health threat in North Korea is hunger.,0
2,You can find the 20-meter statues of Kim Il-Sung and Kim Jong-Il at the Grand Monument on Mansu Hill in Pyongyang.,0
3,Japanese convenience stores also carry a wide array of health drinks for a balanced diet.,0
4,"In 2019, Yahoo Japan announced a partnership with Line to merge into a single company.",0
5,JR Pass is a special fare ticket that gives you unlimited access to all JR trains for a set amount of time.,0
6,Osaka Castle is one of the most popular tourist destinations,0
7,China has the biggest population of any country in the world.,0
8,The Forbidden City is a palace complex in central Beijing that houses the Palace Museum. ,0
9,China produces the most gold out of any country in the world.,0
10,The Huizhou Ancient Town is a famous historical and cultural city in southern Anhui Province with over 2000 years of history.,0
11,Russians have two ways of calling themselves.,0
12,The size of Russia has led to a varied climate.,0
13,Saint Basil’s Cathedral remains as one of Russia’s most iconic buildings.,0
14,Russia finally became a world power under Peter the Great in the 18th century.,0
15,The USA Waged a War of Independence from Britain,0
16,Western Expansion Increased the Size of the USA,0
17,"There Are Over 900,000 Black Bears in the USA, but Not All of Them Are Black",0
18,It’s hard to discuss USA facts without mentioning the American movie industry. ,0
19,More than 70% of Canada's population has European origins.,0
20,"Also known as the Maple Leaf Flag, the Canadian flag has two main colors of red and white.",0
21,Canada's indigenous people used maple sap as a food staple.,0
22,"Coming from the French word ‘Fete du Dominion,’ Canada Day used to be called Dominion day until the Canada Act’s passing in 1982.",0
23,Egypt is one of the driest places on Earth,0
24,The Ancient Egyptians divided their land into the black earth and the red earth.,0
25,Slaves didn’t build the pyramids in Egypt.,0
26,The original architect of the pyramids was a priest named Imhotep.,0
27,Semi-nomadic tribes inhabited Brazil before the colonization.,0
28,"Both Baianos (from Bahia, in the Northeast Region of Brazil), and Capixabas (from the neighboring state of Esprito Santo), claim to be the inventors of the dish, and both serve up equally delicious variants.",0
29,"Brazil produces about a third of all the coffee in the whole world, and the production of coffee plays a big part in the country’s economy.",0
30,"The Iguaçu National Park in Parana State, Brazil has a land area of 85,262.5 hectares with a length of around 420 kilometers.",0
31,The colors on the German flag represents the different political parties.,0
32,The Black Forest in Germany is known for its picturesque villages.,0
33,Germany and the Netherlands have a long rivalry in national football.,0
0,"FSD Beta 10.69.2 rolling out now. Please note that top priority is safety, so expect it to be overly cautious, especially around pedestrians.",0
1,Looks good to roll out to all Tesla owners with 10.12.2 (~100k cars)!,0
2,Tesla North America aiming for >50 same hour service,0
3,Enter your destination & your Tesla will automatically include Supercharging stops in your route,0
4,"It’s sad though, because they are both uncomfortably sweaty from pedaling the paddle wheel propulsion system. ",0
5,"When two people who are dating both like one of my tweets, i like to picture them both laughing at it together while holding hands in a swan boat",0
6,Recently after more than 20 years as a Google account holder my YouTube channel was suspended without warning and without any reason given.,0
7,"After 20 years or more of using YouTube, they locked me out of my YouTube and yt music account without any reason.",0
8,I used to call Yahoo my safe email. They pretty much ruined that experience for me by deleting all my emails they claim due inactivity on my emails when I saw them less than 2 months ago.,0
9,Comments section of Yahoo controlled by alt-reality biased moderators supporting lies harmful to the Nation.,0
10,"Although, Facebook is a social media platform, but it is also being used for business purposes, so fake, hateful, and political publishing should be avoided to make this platform professionally sound.",0
11,There is no mechanism to publish some verified information on this platform.,0
12,"There is a lot of advertisement on Facebook, which always irritates me.",0
13,Jordi Cruyff has signed his contract as FC Barcelona's new sporting director of football. He has already been serving in the role since July 1.,0
14,"An FC Barcelona player from 1993 to 1996, he returned to the club last season as director of the international area of the football section and played a key role in the two most recent transfer windows as a member of the Sporting Commission.",0
15,"Our main objective was to create less stress for applicants. We constantly consider changes to the admissions process which could improve the experience for applicants, and the reasons for this change became more apparent over the last application cycle. ",0
16,All prospective students will now be able to express their interest in attending Justice Amy Coney Barrett’s alma mater in the regular application’s “Why Notre Dame Law School?” statement.,0
17,"In light of the current public health crisis, Justin Bieber announces his rescheduled 2021 World Tour dates below.",0
18,"In June, the singer revealed he was suffering from facial paralysis, after a diagnosis of Ramsay Hunt syndrome.",0
19,"So I'm going to take a break from touring right now. I'm going to be OK, but I need to take time to rest and get better.",0
20,"Ramsay Hunt Syndrome cannot be passed from one person to another, but it is a complication from a transmissible disease called shingles.",0
21,"The president successfully preserved the status quo for two decades. Suddenly, he’s turned into a destroyer.",0
